Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
106531;AIG India Treasury Plus Fund-Retail Plan-Quarterly Dividend Option;10.2099;10.2099;10.2099;24-Dec-2007
106522;AIG India Treasury Plus Fund-Retail Plan-Weekly Dividend Option;10.0110;10.0110;10.0110;24-Dec-2007
106526;AIG India Treasury Plus Fund-Super Institutional Plan-Bonus Option;0.0000;0.0000;0.0000;12-Oct-2007
106527;AIG India Treasury Plus Fund-Super Institutional Plan-Daily Dividend Option;10.0110;10.0110;10.0110;24-Dec-2007
106533;AIG India Treasury Plus Fund-Super Institutional Plan-Growth Option;10.2222;10.2222;10.2222;24-Dec-2007
106538;AIG India Treasury Plus Fund-Super Institutional Plan-Monthly Dividend Option;10.0738;10.0738;10.0738;24-Dec-2007
106528;AIG India Treasury Plus Fund-Super Institutional Plan-Quarterly Dividend Option;0.0000;0.0000;0.0000;12-Oct-2007
106537;AIG India Treasury Plus Fund-Super Institutional Plan-Weekly Dividend Option;10.0110;10.0110;10.0110;24-Dec-2007

Birla Sun Life Mutual Fund
101843;Birla Bond Index Fund-Dividend Plan (Plan A);10.0183;10.0083;10.0183;24-Dec-2007
101844;Birla Bond Index Fund-Growth Plan (Plan B);12.1897;12.1592;12.1897;24-Dec-2007
102767;Birla Dynamic Bond Fund-Retail Plan-Growth;12.2348;12.2348;12.2348;24-Dec-2007
102766;Birla Dynamic Bond Fund-Retail Plan-Quarterly Dividend;10.4480;10.4480;10.4480;24-Dec-2007
102855;Birla Fixed Maturity Plan - Annual  Series 3-Dividend;10.6608;10.4476;10.6608;24-Dec-2007
102856;Birla Fixed Maturity Plan - Annual  Series 3-Growth;12.4123;12.1641;12.4123;24-Dec-2007
102754;Birla Fixed Maturity Plan - Annual Yearly Series 1-Dividend;10.1301;9.9275;10.1301;24-Dec-2007
102755;Birla Fixed Maturity Plan - Annual Yearly Series 1-Growth;12.3055;12.0594;12.3055;24-Dec-2007
102682;Birla Fixed Maturity Plan - Quarterly Series II-Dividend;10.2206;10.0162;10.2206;24-Dec-2007
102683;Birla Fixed Maturity Plan - Quarterly Series II-Growth;12.5936;12.3417;12.5936;24-Dec-2007
100037;Birla Income Plus (Dividend);10.5686;10.5052;10.5686;24-Dec-2007
100038;Birla Income Plus (Growth);33.7922;33.5894;33.7922;24-Dec-2007
100971;Birla MIP-Plan A (Dividend);11.5679;11.4985;11.5679;24-Dec-2007
100972;Birla MIP-Plan B (Payment);21.8936;21.7622;21.8936;24-Dec-2007
100970;Birla MIP-Plan C (Growth);21.8936;21.7622;21.8936;24-Dec-2007
101711;Birla MIP - Saving 5 Plan-Plan A (Dividend);10.1625;10.1625;10.1625;24-Dec-2007
101712;Birla MIP - Saving 5 Plan-Plan B (Growth);12.4965;12.4965;12.4965;24-Dec-2007
101713;Birla MIP - Saving 5 Plan-Plan C (Payment);12.4965;12.4965;12.4965;24-Dec-2007
101816;Birla MIP - Wealth 25 Plan-Plan A (Dividend);11.6346;11.5183;11.6346;24-Dec-2007
101817;Birla MIP - Wealth 25 Plan-Plan B (Growth);15.3625;15.2089;15.3625;24-Dec-2007
101818;Birla MIP - Wealth 25 Plan-Plan C (Payment);15.3625;15.2089;15.3625;24-Dec-2007
106270;BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-3 YRS- DIVIDEND;10.6601;10.6601;0.0000;24-Dec-2007
106269;BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND-3 YRS- GROWTH;10.6601;10.6601;0.0000;24-Dec-2007
103177;Birla Sun Life Income Fund-Plan A(Dividend);11.2586;11.1910;11.2586;24-Dec-2007
103178;Birla Sun Life Income Fund-Plan B(Growth);28.6857;28.5136;28.6857;24-Dec-2007
103183;Birla Sun Life Income Fund-Plan C(Quarterly Dividend);10.6207;10.5570;10.6207;24-Dec-2007
103179;Birla Sun Life Income Fund-Plan D(54EA Dividend);12.6315;12.5557;12.6315;24-Dec-2007
103180;Birla Sun Life Income Fund-Plan E(54EA Growth);28.6655;28.4935;28.6655;24-Dec-2007
103181;Birla Sun Life Income Fund-PLan F(54EB Dividend);12.6449;12.5690;12.6449;24-Dec-2007
103182;Birla Sun Life Income Fund-Plan G(54EB Growth);28.4850;28.3141;28.4850;24-Dec-2007
101315;Birla Sun Life Liquid Plus-Insititutional Dividend;10.5052;10.4789;10.5052;24-Dec-2007
105889;Birla Sun Life Liquid Plus-Insititutional Plan - Monthly  Dividend;10.0840;10.0739;10.0840;24-Dec-2007
105888;Birla Sun Life Liquid Plus-Insititutional Plan- Daily Dividend;10.0068;9.9968;10.0068;24-Dec-2007
105887;Birla Sun Life Liquid Plus-Insititutional Plan- Weekly Dividend;10.0306;10.0206;10.0306;24-Dec-2007
101317;Birla Sun Life Liquid Plus-Institutional Growth;14.9049;14.8900;14.9049;24-Dec-2007
101318;Birla Sun Life Liquid Plus-Retail - Dividend;11.2832;11.2719;11.2832;24-Dec-2007
105886;Birla Sun Life Liquid Plus-Retail - Monthly Dividend;10.0760;10.0659;10.0760;24-Dec-2007
105881;Birla Sun Life Liquid Plus-Retail - Weekly Dividend;10.0298;10.0198;10.0298;24-Dec-2007
101316;Birla Sun Life Liquid Plus-Retail Growth;14.7295;14.7148;14.7295;24-Dec-2007
103184;Birla Sun Life Monthly Income-Plan A(Dividend);11.1786;11.0668;11.1786;24-Dec-2007
103185;Birla Sun Life Monthly Income-Plan B(Growth);28.9883;28.6984;28.9883;24-Dec-2007
103186;Birla Sun Life Monthly Income-Plan C(Quarterly Dividend);12.0305;11.9102;12.0305;24-Dec-2007
106157;Birla Sun Life Short Term Fund-Plan (Fortnightly Dividend);10.0511;10.0260;10.0511;24-Dec-2007
103175;Birla Sun Life Short Term Fund-Plan A(Monthly Dividend);10.5760;10.5496;10.5760;24-Dec-2007
103176;Birla Sun Life Short Term Fund-Plan B(Growth);14.3726;14.3367;14.3726;24-Dec-2007

BOB Mutual Fund
102670;BOB CHILDREN FUND-GIFT PLAN;10.6131;10.5070;10.6131;24-Dec-2007
102671;BOB CHILDREN FUND-STUDY PLAN;9.8338;9.7355;9.8338;24-Dec-2007
101155;BOB INCOME FUND-Dividend Plan;13.1179;13.0523;13.1179;24-Dec-2007
101154;BOB INCOME FUND-Growth Plan;13.1178;13.0522;13.1178;24-Dec-2007
102661;BOB MIP FUND-Growth Plan;11.9349;11.8752;11.9349;24-Dec-2007
102662;BOB MIP FUND-Monthly Dividend Plan;11.9399;11.8802;11.9399;24-Dec-2007
102663;BOB MIP FUND-Quarterly Dividend Plan;11.9354;11.8757;11.9354;24-Dec-2007

Canara Robeco Mutual Fund
100601;Canara Robeco Cigo-Growth Plan;23.53;23.53;23.53;24-Dec-2007
100600;Canara Robeco Cigo-Income Plan;12.72;12.72;12.72;24-Dec-2007
101589;Canara Robeco Income-Bonus Plan;12.7651;12.7651;12.7651;24-Dec-2007
101588;Canara Robeco Income-Growth Plan;13.9333;13.9333;13.9333;24-Dec-2007

101587;Canara Robeco Income-Income Plan;12.6744;12.6744;12.6744;24-Dec-2007
106326;Canara Robeco Liquid Plus- Institutional Plan- Daily Dividend Reinvestment Option;12.4071;12.4071;12.4071;24-Dec-2007
106330;Canara Robeco Liquid Plus- Institutional Plan- Growth option;12.9794;12.9794;12.9794;24-Dec-2007
106327;Canara Robeco Liquid Plus- Institutional Plan- Weekly Dividend Reinvestment option;12.4185;12.4185;12.4185;24-Dec-2007
106325;Canara Robeco Liquid Plus- Retail Plan- Daily Dividend Reinvestment Option;12.4071;12.4071;12.4071;24-Dec-2007
106329;Canara Robeco Liquid Plus- Retail Plan- Growth Option;12.9794;12.9794;12.9794;24-Dec-2007
106324;Canara Robeco Liquid Plus- Retail Plan- Income option;12.7654;12.7654;12.7654;24-Dec-2007

DBS Chola Mutual Fund
100576;DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan;12.7122;12.7122;12.7122;24-Dec-2007
105738;DBS Chola Freedom Income -Short Term Fund-Daily Dividend Re-investment Plan;10.0000;10.0000;10.0000;24-Dec-2007
100575;DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative;12.5627;12.5627;12.5627;24-Dec-2007
100574;DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend;11.0611;11.0611;11.0611;24-Dec-2007
105693;DBS Chola Freedom Income -Short Term Fund-Weekly Dividend- Institutional Plan;10.0650;10.0650;10.0650;24-Dec-2007
101192;DBS Chola Freedom Income-STF Regular-Semi Annual Dividend;11.9451;11.9451;11.9451;24-Dec-2007
106643;DBS Chola Interval Income Fund - Institutional Plan - Cumulative Option;10.2201;10.2099;10.2201;24-Dec-2007
106644;DBS Chola Interval Income Fund - Institutional Plan - Dividend Option;10.0303;10.0203;10.0303;24-Dec-2007
106641;DBS Chola Interval Income Fund - Retail Plan - Cumulative Option;10.2197;10.2095;10.2197;24-Dec-2007
106642;DBS Chola Interval Income Fund - Retail Plan - Dividend Option;10.0345;10.0245;10.0345;24-Dec-2007
101958;DBS Chola Liquid Fund - Institutional Plus Weekly Dividend;11.9700;11.9700;11.9700;25-Dec-2007
101905;DBS Chola Monthly Income Plan - Regular - Bonus;12.9003;12.9003;12.9003;3-Oct-2006
102019;DBS Chola Monthly Income Plan -Reg.-Quarterly Dividend Plan;11.4326;11.4326;11.4326;24-Dec-2007
102018;DBS Chola Monthly Income Plan -Regular - Cumulative Plan;14.8952;14.8952;14.8952;24-Dec-2007
101895;DBS Chola Monthly Income Plan-Regular-Monthly Dividend Plan;11.4379;11.4379;11.4379;24-Dec-2007
103137;DBS Chola Short Term Floating Rate Fund-Cumulative;11.8536;11.8536;11.8536;25-Dec-2007
103134;DBS Chola Short Term Floating Rate Fund-Dividend-Daily;10.0164;10.0164;10.0164;25-Dec-2007
103136;DBS Chola Short Term Floating Rate Fund-Dividend-Monthly;10.3168;10.3168;10.3168;25-Dec-2007
103135;DBS Chola Short Term Floating Rate Fund-Dividend-Weekly;10.2594;10.2594;10.2594;25-Dec-2007
100567;DBS Chola Triple Ace-Regular - Quarterly Dividend;11.5568;11.5568;11.5568;24-Dec-2007
100563;DBS Chola Triple Ace-Regular -Cumulative;24.5450;24.5450;24.5450;24-Dec-2007
100573;DBS Chola Triple Ace-Regular Bonus;13.6382;13.6382;13.6382;24-Dec-2007
100569;DBS Chola Triple Ace-Semi Annual Dividend;10.4097;10.4097;10.4097;24-Dec-2007
101784;DBS CholaFreedom Income-STF-Institutional Monthly Dividend;11.2343;11.2343;11.2343;24-Dec-2007

Deutsche Mutual Fund
102196;DWS MIP-DWS MIP Plan A-DWS MIP Plan A-  Growth Option;14.2784;14.2784;14.3498;24-Dec-2007
102195;DWS MIP-DWS MIP Plan A-DWS MIP Plan A- Annual Dividend option;11.7426;11.7426;11.8013;24-Dec-2007
102193;DWS MIP-DWS MIP Plan A-DWS MIP Plan A- Monthly Dividend option;11.2273;11.2273;11.2834;24-Dec-2007
102194;DWS MIP-DWS MIP Plan A-DWS MIP Plan A- Quarterly  Dividend option;11.4892;11.4892;11.5466;24-Dec-2007
102200;DWS MIP-DWS MIP Plan B-DWS MIP Plan B-  Growth Option;13.0662;13.0662;13.1315;24-Dec-2007
102199;DWS MIP-DWS MIP Plan B-DWS MIP Plan B- Annual Dividend option;11.0762;11.0762;11.1316;24-Dec-2007
102197;DWS MIP-DWS MIP Plan B-DWS MIP Plan B- Monthly Dividend option;10.8077;10.8077;10.8617;24-Dec-2007
102198;DWS MIP-DWS MIP Plan B-DWS MIP Plan B- Quarterly  Dividend option;10.7460;10.7460;10.7997;24-Dec-2007
101732;DWS Premier Bond Fund - Regular Plan-/-Growth Plan;12.7307;12.7307;12.9853;24-Dec-2007
101731;DWS Premier Bond Fund - Regular Plan-Dividend(payout / reinvestment)-Annual;11.0435;10.9883;11.0435;24-Dec-2007
101730;DWS Premier Bond Fund - Regular Plan-Dividend(payout / reinvestment)-Monthly;11.0004;10.9454;11.0004;24-Dec-2007
101729;DWS Premier Bond Fund - Regular Plan-Dividend(payout / reinvestment)-Quarterly;10.6699;10.6166;10.6699;24-Dec-2007
